epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1491.23,1.34026,1.32963,1.43949,0.44415,0.44745,0.43134,0.25953,1.94287,2.84124,2.14138,0.0033218,0.0033218,0.0701038
2,2921.83,1.51035,1.6484,1.5847,0.70624,0.50093,0.56898,0.32067,1.81516,2.53297,1.86324,0.00533742,0.00533742,0.0387861
3,3741.08,1.42039,1.42801,1.50314,0.79098,0.66778,0.72524,0.42716,1.55907,1.40621,1.62707,0.00603303,0.00603303,0.00614837
4,4564.79,1.32549,1.32283,1.42885,0.74028,0.63856,0.6993,0.37882,1.59419,1.37983,1.63258,0.00406,0.00406,0.00406
5,6043.14,1.23011,1.18313,1.35703,0.83337,0.73992,0.78003,0.51685,1.3177,1.09673,1.38791,0.00208,0.00208,0.00208
